date, pm25, pm10, o3, no2, so2, co
2020/9/1, 47, 18, 7, , , 
2020/9/2, 28, 23, 7, , , 
2020/9/3, 26, 16, 7, , , 1
2020/9/4, 20, 22, 8, 1, , 3
2020/9/5, 34, 20, 55, , , 3
2020/9/6, 79, 38, 28, , , 
2020/9/7, 51, 38, 9, , , 
2020/9/8, 50, 31, 9, 1, , 
2020/9/9, 34, , , , , 
2020/8/1, 73, 23, 11, , , 3
2020/8/2, 50, 28, 10, , , 3
2020/8/3, 60, 22, 8, , , 4
2020/8/4, 53, 16, 8, , , 3
2020/8/5, 34, 9, 6, , , 3
2020/8/6, 13, 13, 8, , , 3
2020/8/7, 22, 14, 9, , , 3
2020/8/8, 29, 18, 8, , , 4
2020/8/9, 39, 17, 9, , , 4
2020/8/10, 29, 18, 9, , , 4
2020/8/11, 32, 15, 8, , , 4
2020/8/12, 23, 15, 7, , , 5
2020/8/13, 28, 12, 8, , , 13
2020/8/14, 23, 11, 7, , , 36
2020/8/15, 22, , , , , 
2020/8/17, 33, 19, 9, , , 35
2020/8/18, 26, 16, 7, , , 31
2020/8/19, 21, 13, 7, , , 30
2020/8/20, 20, 12, 8, , , 31
2020/8/21, 15, 16, 9, 1, , 30
2020/8/22, 33, 18, 9, , , 30
2020/8/23, 37, 33, 10, , , 26
2020/8/24, 36, 28, 10, , , 42
2020/8/25, 38, 27, 10, , , 
2020/8/26, 44, 25, 11, 1, , 
2020/8/27, 35, 32, 12, 1, , 
2020/8/28, 49, 27, 11, 1, , 
2020/8/29, 51, 25, 10, , , 
2020/8/30, 54, 20, 8, , , 
2020/8/31, 44, 22, 7, , , 
2020/7/1, 60, 21, 11, , , 4
2020/7/2, 52, 23, 9, 1, , 4
2020/7/3, 55, 19, 8, , , 3
2020/7/4, 24, 25, 10, , , 2
2020/7/5, 43, 27, 12, , , 1
2020/7/6, 56, 27, 12, , , 1
2020/7/7, 62, 36, 13, , , 3
2020/7/8, 82, 16, 10, , , 1
2020/7/9, 27, 14, 7, , , 1
2020/7/10, 29, 13, 7, , , 1
2020/7/11, 29, 20, 8, , , 1
2020/7/12, 52, 28, 14, , , 1
2020/7/13, 65, 21, 11, , , 1
2020/7/14, 36, 22, 10, , , 2
2020/7/15, 48, 21, 8, , , 2
2020/7/16, 46, 25, 11, , , 2
2020/7/17, 58, 29, 12, 1, , 2
2020/7/18, 64, , , , , 
2020/7/20, 43, 14, 11, , , 1
2020/7/21, 32, 20, 10, , , 2
2020/7/22, 44, 23, 12, , , 3
2020/7/23, 50, 22, 11, 1, , 3
2020/7/24, 57, 19, 10, , , 3
2020/7/25, 45, 20, 9, , , 2
2020/7/26, 43, 20, 9, , , 2
2020/7/27, 47, 19, 10, , , 3
2020/7/28, 43, 27, 11, 1, , 3
2020/7/29, 59, 18, 11, , , 3
2020/7/30, 29, 29, 11, 1, , 3
2020/7/31, 68, 33, 12, , , 4
2020/6/1, 21, 18, 12, , , 1
2020/6/2, 38, 33, 12, , , 2
2020/6/3, 74, 36, 12, , , 3
2020/6/4, 88, 38, 11, 1, , 4
2020/6/5, 93, 32, 14, , , 3
2020/6/6, 78, 19, 8, , , 2
2020/6/7, 45, 17, 7, , , 2
2020/6/8, 48, 18, 8, , , 2
2020/6/9, 32, 12, 8, , , 2
2020/6/10, 26, 13, 8, , , 2
2020/6/11, 28, 14, 10, , , 2
2020/6/12, 31, 23, 10, , , 3
2020/6/13, 56, 19, 10, , , 2
2020/6/14, 45, 17, 6, , , 2
2020/6/15, 52, 14, 7, , , 3
2020/6/16, 30, 18, 7, , , 3
2020/6/17, 31, 28, 9, , , 3
2020/6/18, 60, 22, 8, , , 4
2020/6/19, 51, 19, 8, , , 4
2020/6/20, 49, 18, 9, , , 4
2020/6/21, 43, 16, 10, , , 4
2020/6/22, 32, 26, 11, , , 5
2020/6/23, 59, 33, 10, , , 5
2020/6/24, 69, 29, 11, , , 5
2020/6/25, 69, 19, 8, , , 5
2020/6/26, 42, 17, 8, , , 4
2020/6/27, 39, 14, 8, , , 4
2020/6/28, 33, 20, 9, , , 5
2020/6/29, 48, 18, 10, , , 4
2020/6/30, 40, 24, 12, , , 4
2020/5/1, 23, 39, 10, 1, , 5
2020/5/2, 74, 41, 12, 1, , 5
2020/5/3, 89, 28, 7, 1, , 5
2020/5/4, 64, 16, 7, , , 4
2020/5/5, 27, 20, 6, , , 5
2020/5/6, 38, 21, 7, , , 5
2020/5/7, 40, 12, 5, , , 5
2020/5/8, 16, 13, 6, , , 4
2020/5/9, 16, 15, 5, , , 5
2020/5/10, 25, 15, 6, , , 5
2020/5/11, 27, 22, 6, , , 5
2020/5/12, 44, 22, 7, , , 5
2020/5/13, 40, 34, 6, , , 5
2020/5/14, 47, 32, 6, 1, , 6
2020/5/15, 60, 27, 5, , , 6
2020/5/16, 57, , , , , 
2020/5/18, 25, 15, 5, , , 6
2020/5/19, 31, 15, 6, , , 6
2020/5/20, 28, 19, 7, , , 5
2020/5/21, 21, 4, 5, , , 5
2020/5/22, 5, 6, 7, , , 5
2020/5/23, 5, 28, 14, , , 6
2020/5/24, 62, 30, 10, 1, , 7
2020/5/25, 68, 23, 10, , , 1
2020/5/26, 52, 18, 12, , , 1
2020/5/27, 39, 21, 12, , , 2
2020/5/28, 48, 33, 12, 1, , 2
2020/5/29, 84, 19, 10, , , 1
2020/5/30, 48, 21, 8, , , 1
2020/5/31, 52, 10, 7, , , 1
2020/4/1, 14, 8, 4, , , 1
2020/4/2, 9, 8, 5, , , 1
2020/4/3, 7, 10, 3, , , 2
2020/4/4, 11, 10, 3, , , 2
2020/4/5, 11, 9, 3, , , 2
2020/4/6, 14, 27, 6, , , 2
2020/4/7, 21, 20, 4, , , 2
2020/4/8, 15, 7, 4, , , 2
2020/4/9, 8, 6, 6, , , 2
2020/4/10, 8, 6, 4, , , 2
2020/4/11, 8, 6, 2, , , 2
2020/4/12, 6, 8, 3, , , 2
2020/4/13, 9, 10, 3, , , 2
2020/4/14, 12, 10, 3, , , 2
2020/4/15, 12, 7, 3, , , 2
2020/4/16, 5, 8, 3, , , 3
2020/4/17, 7, , , , , 
2020/4/19, 10, 8, 2, , , 3
2020/4/20, 12, 9, 2, , , 3
2020/4/21, 13, 9, 4, , , 3
2020/4/22, 12, 10, 5, , , 3
2020/4/23, 16, 12, 4, , , 3
2020/4/24, 19, 14, 5, , , 3
2020/4/25, 17, 12, 4, , , 3
2020/4/26, 18, 12, 5, , , 3
2020/4/27, 14, 15, 6, , , 3
2020/4/28, 16, 12, 7, , , 4
2020/4/29, 19, 13, 6, , , 4
2020/4/30, 24, 15, 5, , , 4
2020/3/1, 9, 12, 5, , , 3
2020/3/2, 12, 13, 4, , , 3
2020/3/3, 7, 11, 6, , , 4
2020/3/4, 10, 8, 6, , , 375
2020/3/5, 6, 22, 5, , , 
2020/3/6, 18, 10, 6, , , 500
2020/3/7, 8, 10, 6, , , 500
2020/3/8, 5, 8, 5, , , 500
2020/3/9, 7, 9, 6, , , 1
2020/3/10, 9, 7, 6, , , 1
2020/3/11, 9, 8, 5, , , 1
2020/3/12, 10, 8, 5, , , 1
2020/3/13, 9, , , , , 
2020/3/15, 10, 8, 5, , , 1
2020/3/16, 11, 9, 8, , , 1
2020/3/17, 13, 7, 4, , , 1
2020/3/18, 8, 8, 4, , , 1
2020/3/19, 9, 10, 3, , , 1
2020/3/20, 10, 10, 3, , , 1
2020/3/21, 11, 9, 4, , , 1
2020/3/22, 13, 9, 5, , , 1
2020/3/23, 12, 7, 2, , , 1
2020/3/24, 10, 6, 1, , , 1
2020/3/25, 7, 9, 2, , , 1
2020/3/26, 7, 7, 2, , , 1
2020/3/27, 8, 8, 4, , , 1
2020/3/28, 10, 12, 4, , , 1
2020/3/29, 13, 9, 5, , , 1
2020/3/30, 15, 8, 5, , , 1
2020/3/31, 9, 8, 3, , , 1
2020/2/1, 18, 18, 4, , , 5
2020/2/2, 16, 20, 5, , , 4
2020/2/3, 16, 20, 7, , , 5
2020/2/4, 13, 15, 5, , , 5
2020/2/5, 13, 14, 5, , , 5
2020/2/6, 13, 14, 4, , , 6
2020/2/7, 15, 15, 3, , , 6
2020/2/8, 15, 21, 7, , , 6
2020/2/9, 20, 20, 5, , , 6
2020/2/10, 16, 11, 8, , , 4
2020/2/11, 10, 8, 8, , , 2
2020/2/12, 6, 13, 6, , , 3
2020/2/13, 9, 14, 3, , , 3
2020/2/14, 10, 15, 3, , , 3
2020/2/15, 11, 15, 6, , , 3
2020/2/16, 12, 12, 7, , , 3
2020/2/17, 12, 12, 7, , , 3
2020/2/18, 11, 11, 7, , , 3
2020/2/19, 10, 11, 8, , , 3
2020/2/20, 11, 12, 8, , , 3
2020/2/21, 16, 21, 6, , , 3
2020/2/22, 18, 26, 5, , , 3
2020/2/23, 18, 22, 5, , , 3
2020/2/24, 18, 21, 4, , , 3
2020/2/25, 15, 22, 3, , , 3
2020/2/26, 16, 21, 6, , , 3
2020/2/27, 17, 13, 5, , , 3
2020/2/28, 10, 11, 3, , , 3
2020/2/29, 10, 9, 4, , , 3
2020/1/1, 52, 15, 9, , , 3
2020/1/2, 52, 9, 7, , , 3
2020/1/3, 12, 8, 7, , , 3
2020/1/4, 11, 10, 8, , , 3
2020/1/5, 15, 10, 7, , , 3
2020/1/6, 11, 8, 8, , , 4
2020/1/7, 12, 14, 5, , , 4
2020/1/8, 17, 15, 5, , , 3
2020/1/9, 15, 10, 8, , , 4
2020/1/10, 9, 7, 6, , , 4
2020/1/11, 7, 12, 4, , , 5
2020/1/12, 17, 19, 6, , , 5
2020/1/13, 43, 13, 5, , , 5
2020/1/14, 22, 13, 5, , , 5
2020/1/15, 18, 13, 5, , , 4
2020/1/16, 14, 12, 7, , , 5
2020/1/17, 17, 16, 6, , , 5
2020/1/18, 19, , , , , 
2020/1/21, 19, 9, 7, 1, , 4
2020/1/22, 9, 18, 8, , , 4
2020/1/23, 17, 22, 5, , , 5
2020/1/24, 21, 20, 4, , , 5
2020/1/25, 19, 16, 4, , , 5
2020/1/26, 15, 16, 5, , , 4
2020/1/27, 15, 20, 5, , , 5
2020/1/28, 18, 23, 7, , , 5
2020/1/29, 20, 24, 5, , , 5
